コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1960,2021/03,68.4,41656594000,-151906000,18,126.18,0.0,1.0
1961,2021/03,53.4,190067000000,7498000000,80,92.76,3.0,10.0
1963,2021/03,59.4,433970000000,22880000000,12,58.9,0.0,0.0
1964,2021/03,56.2,24718000000,390000000,60,139.82,0.0,5.0
1965,2021/03,66.1,54871000000,1709000000,28,61.02,1.0,7.0
1966,2021/03,39.1,47794803000,2036525000,10,13.84,1.0,4.0
1967,2021/03,71.1,43767111000,3081887000,15,16.92,3.0,10.0
1968,2021/03,55.9,127779000000,7400000000,80,30.54,2.0,2.0
1969,2021/03,48.7,275181000000,12300000000,56,40.26,5.0,10.0
1971,2021/03,31.8,7947478000,-349916000,-,-,0.0,2.0
1972,2021/03,65.7,32239000000,2500000000,130,22.85,0.0,0.0
1973,2021/03,49.4,339109000000,25563000000,35,26.48,0.0,0.0
1975,2021/03,47.1,70435000000,2235000000,100,43.82,0.0,0.0
1976,2021/03,78.3,50533000000,6399000000,30,33.52,0.0,10.0
1979,2021/03,52.9,202548000000,11690000000,90,41.31,6.0,6.0
1980,2021/03,56.4,157712000000,8754000000,90,32.8,6.0,6.0
1981,2021/03,64.7,34485637000,1407119000,30,15.88,1.0,1.0
1982,2021/03,70.9,73119000000,3997000000,80,62.54,0.0,8.0
1992,2021/03,55,6545023000,497303000,35,14.49,0.0,1.0
1994,2020/12,75.9,7367436000,838267000,23,24.14,0.0,0.0
1997,2021/08,64.9,7407000000,957000000,65,16.33,1.0,2.0
2001,2021/03,53.3,329566000000,10331000000,36,31.24,2.0,10.0
2002,2021/03,63,679495000000,27197000000,37,53.18,7.0,9.0
2003,2021/03,75.6,56544000000,4539000000,232,30.12,4.0,5.0
2004,2021/03,46.7,255997000000,7594000000,65,20.24,2.0,10.0
2009,2020/12,81.7,21870638000,736383000,14,61.72,0.0,2.0
2053,2021/03,67.8,181356000000,5387000000,28,20.62,0.0,10.0
2055,2021/03,63.8,39900700000,283328000,6,83.31,1.0,10.0
2060,2021/03,42.6,214120000000,5672000000,25,33.35,1.0,5.0
2107,2021/03,84.2,12908000000,828000000,35,92.2,2.0,10.0
2108,2021/03,70.3,54792000000,1889000000,50,43.24,0.0,0.0
2109,2021/03,58.1,108887000000,3631000000,50,46.49,0.0,0.0
2112,2021/03,36.4,23686000000,982000000,5,17.42,0.0,0.0
2114,2021/03,78.2,18992703000,1436411000,11,24.65,0.0,6.0
2117,2021/03,79.2,43767000000,2206000000,66,125,0.0,0.0
